LoanID,PoolID,BorrowerID,ServicerID,ServicerName,OriginationChannel,OriginationDate,CutoffDate,MaturityDate,OriginalLoanAmount,OriginalTerm,RemainingTerm,MonthsOnBook,InterestRate,MonthlyEMI,LoanPurpose,CurrentBalance,ScheduledPaymentDue,LastPaymentAmount,LastPaymentDate,DelinquencyStatus,DelinquencyDays,TotalPaymentsDue,TotalPaymentsMade,Times30DPD_Last12M,Times60DPD_Last12M,Times90DPD_Last12M,VehicleMake,VehicleModel,VehicleYear,VehicleType,IsNewVehicle,OriginalVehicleValue,CurrentVehicleValue,LTV_AtOrigination,LTV_Current,BorrowerAge,EmploymentType,AnnualIncome_INR,DTI_Ratio,CIBIL_Score_Origination,CIBIL_Score_Current,Region,State,IFRS9_Stage,PD_Estimate,LGD_Estimate,EAD,ECL_Provision,IsDefaulted,IsModified,ModificationType,LossAmount,RecoveryAmount,NetLoss,PrepaymentAmount,InsuranceType,HasInsurance
ZAAUTO2024-1-00011,ZAAUTO2024-1,BOR-910891,SVC002,ICICI Auto Loans,Dealer,2022-04-01,2024-10-31,2028-02-29,757900.0,72,42,30,9.8,13964.41,New Vehicle Purchase,455218.15,13964.41,7673.24,2024-10-19,30-59 DPD,35,30,25,2,2,0,Mahindra,Bolero,2022,Sedan,True,912000.0,567829.76,0.831,0.7799,41,Business Owner,2359000.0,0.071,787,779,North,Delhi,2,0.1117,0.523,461015.87,26932.13,False,False,,0,0,0,0,Nil,True
ZAAUTO2024-1-00012,ZAAUTO2024-1,BOR-831076,SVC003,Bajaj Finance Auto,Online,2021-05-24,2024-10-31,2026-04-28,678300.0,60,19,41,12.17,15146.74,New Vehicle Purchase,203824.87,15146.74,15595.12,2024-10-21,Current,0,41,41,0,0,0,Toyota,Glanza,2021,Hatchback,True,962000.0,504221.94,0.7051,0.4171,43,Self-Employed,1202000.0,0.1512,820,818,South,Telangana,1,0.0196,0.4826,206002.75,1948.57,False,False,,0,0,0,0,Nil,False
ZAAUTO2024-1-00013,ZAAUTO2024-1,BOR-577538,SVC001,HDFC Bank Auto Finance,DSA,2022-08-05,2024-10-31,2028-07-04,479500.0,72,46,26,11.78,9319.55,Used Vehicle Purchase,311026.19,9319.55,9475.72,2024-09-26,Current,0,26,26,0,0,0,Volkswagen,Virtus,2020,SUV,False,788000.0,552493.78,0.6085,0.5737,50,Self-Employed,3676000.0,0.0304,748,761,East,Odisha,1,0.0146,0.4248,324218.93,2010.83,False,False,,0,0,0,0,Nil,False
ZAAUTO2024-1-00014,ZAAUTO2024-1,BOR-980660,SVC003,Bajaj Finance Auto,Direct,2023-06-26,2024-10-31,2029-05-25,780900.0,72,56,16,10.65,14724.1,New Vehicle Purchase,615120.62,14724.1,15214.25,2024-10-07,Current,0,16,16,0,0,0,Skoda,Slavia,2023,Compact SUV,True,1191000.0,1040245.48,0.6557,0.6392,40,Professional,3246000.0,0.0544,720,726,North,Punjab,1,0.0225,0.3693,627656.76,5215.36,False,False,,0,0,0,0,Comprehensive,True
ZAAUTO2024-1-00015,ZAAUTO2024-1,BOR-938722,SVC003,Bajaj Finance Auto,Dealer,2024-04-11,2024-10-31,2030-03-11,1182800.0,72,66,6,11.27,22677.42,New Vehicle Purchase,1095287.21,22677.42,21955.66,2024-10-15,Current,0,6,6,0,0,0,Maruti Suzuki,Dzire,2024,SUV,True,1606000.0,1454332.05,0.7365,0.7349,60,Self-Employed,2595000.0,0.1049,719,724,East,West Bengal,1,0.0249,0.5276,1131595.97,14866.05,False,False,,0,0,0,0,Third Party,True
ZAAUTO2024-1-00016,ZAAUTO2024-1,BOR-120324,SVC002,ICICI Auto Loans,Online,2022-03-10,2024-10-31,2028-02-07,1447000.0,72,41,31,9.27,26277.28,New Vehicle Purchase,751710.94,26277.28,20280.19,2024-10-25,90-119 DPD,109,31,26,0,2,0,MG Motor,Astor,2022,MUV,True,1551000.0,989356.23,0.9329,0.7718,58,Salaried,1310000.0,0.2407,816,774,North,Delhi,3,0.6806,0.5322,779822.13,282463.52,False,False,,0,0,0,0,Nil,False
ZAAUTO2024-1-00017,ZAAUTO2024-1,BOR-991597,SVC002,ICICI Auto Loans,DSA,2022-10-01,2024-10-31,2026-09-10,594300.0,48,24,24,8.21,14567.25,New Vehicle Purchase,301866.4,14567.25,14967.33,2024-10-02,Current,0,24,24,0,0,0,Skoda,Slavia,2022,Sedan,True,706000.0,496195.02,0.8417,0.6005,62,Salaried,1871000.0,0.0934,660,654,Central,Chhattisgarh,1,0.0225,0.4806,312941.81,3384.0,False,False,,0,0,0,0,Nil,True
ZAAUTO2024-1-00018,ZAAUTO2024-1,BOR-452737,SVC001,HDFC Bank Auto Finance,Dealer,2024-04-28,2024-10-31,2030-03-28,444800.0,72,66,6,11.49,8578.41,New Vehicle Purchase,407826.41,8578.41,3368.37,2024-10-30,1-29 DPD,11,6,5,0,0,0,Kia,Sonet,2024,Hatchback,True,587000.0,500400.3,0.7578,0.7487,23,Professional,4299000.0,0.0239,696,708,South,Andhra Pradesh,1,0.0169,0.4719,419147.19,3342.74,False,False,,0,0,0,0,Nil,True
ZAAUTO2024-1-00019,ZAAUTO2024-1,BOR-446859,SVC002,ICICI Auto Loans,Online,2022-03-30,2024-10-31,2027-03-04,877800.0,60,29,31,10.48,18858.65,New Vehicle Purchase,429314.7,18858.65,18923.02,2024-10-14,Current,0,31,31,0,0,0,Honda,Elevate,2022,Compact SUV,True,1106000.0,631433.95,0.7937,0.6181,46,Professional,1573000.0,0.1439,714,693,North,Haryana,1,0.0258,0.5998,435673.85,6741.98,False,False,,0,0,0,0,Nil,True
ZAAUTO2024-1-00020,ZAAUTO2024-1,BOR-592198,SVC002,ICICI Auto Loans,Dealer,2021-04-22,2024-10-31,2024-04-06,1289200.0,36,0,42,13.61,43818.0,New Vehicle Purchase,0,43818.0,7911.33,2024-09-28,1-29 DPD,13,42,41,1,0,0,Volkswagen,Virtus,2021,Sedan,True,1493000.0,722811.32,0.8635,0.0,55,Professional,1901000.0,0.2766,663,645,East,West Bengal,1,0.0259,0.3855,0.0,0.0,False,False,,0,0,0,0,Nil,False
ZAAUTO2024-1-00021,ZAAUTO2024-1,BOR-321275,SVC002,ICICI Auto Loans,Dealer,2023-06-26,2024-10-31,2026-06-10,1450200.0,36,20,16,14.13,49656.01,New Vehicle Purchase,750211.17,49656.01,49284.28,2024-09-27,Current,0,16,16,0,0,0,Kia,Carens,2023,SUV,True,2335000.0,1782840.7,0.6211,0.3976,39,Salaried,852000.0,0.6994,669,639,North,Uttar Pradesh,1,0.0222,0.6272,779763.04,10857.3,False,False,,0,0,0,0,Comprehensive,True
ZAAUTO2024-1-00022,ZAAUTO2024-1,BOR-522060,SVC003,Bajaj Finance Auto,Online,2021-11-02,2024-10-31,2024-10-17,1659400.0,36,1,35,10.78,54153.91,Refinance,43587.54,54153.91,52429.05,2024-10-04,Current,0,35,35,0,0,0,Kia,Seltos,2019,SUV,False,1799000.0,1071547.41,0.9224,0.0418,41,Professional,2357000.0,0.2757,803,758,East,Bihar,1,0.0209,0.5789,43969.35,531.99,False,False,,0,0,0,0,Third Party,True
ZAAUTO2024-1-00023,ZAAUTO2024-1,BOR-402218,SVC002,ICICI Auto Loans,DSA,2023-10-05,2024-10-31,2027-09-14,1061200.0,48,36,12,9.81,26818.05,New Vehicle Purchase,799124.23,26818.05,26777.05,2024-10-30,Current,0,12,12,0,0,0,Hyundai,Verna,2023,SUV,True,1667000.0,1561983.56,0.6366,0.56,48,Salaried,1218000.0,0.2642,732,696,East,West Bengal,1,0.0231,0.4111,821068.97,7797.21,False,False,,0,0,0,0,Nil,True
ZAAUTO2024-1-00024,ZAAUTO2024-1,BOR-972565,SVC002,ICICI Auto Loans,DSA,2024-05-31,2024-10-31,2027-05-16,518100.0,36,31,5,10.73,16895.76,New Vehicle Purchase,409388.48,16895.76,7838.6,2024-09-30,1-29 DPD,16,5,4,1,0,0,Mahindra,XUV700,2024,Hatchback,True,819000.0,826099.9,0.6326,0.5318,31,Professional,4683000.0,0.0433,724,739,West,Gujarat,1,0.0181,0.5863,414857.35,4402.48,False,False,,0,0,0,36801.55,Nil,False
ZAAUTO2024-1-00025,ZAAUTO2024-1,BOR-350405,SVC001,HDFC Bank Auto Finance,Online,2023-07-04,2024-10-31,2028-06-07,1126600.0,60,45,15,13.59,25975.16,New Vehicle Purchase,884760.83,25975.16,25050.85,2024-10-22,Current,0,15,15,0,0,0,Volkswagen,Virtus,2023,Compact SUV,True,1539000.0,1154668.35,0.732,0.7011,59,Professional,1398000.0,0.223,848,850,North,Punjab,1,0.0244,0.6123,904239.11,13509.44,False,False,,0,0,0,0,Nil,True
ZAAUTO2024-1-00026,ZAAUTO2024-1,BOR-896290,SVC002,ICICI Auto Loans,Dealer,2022-06-27,2024-10-31,2028-05-26,2793300.0,72,44,28,14.18,57827.59,New Vehicle Purchase,1696808.5,57827.59,57319.01,2024-10-20,Current,0,28,28,0,0,0,Toyota,Urban Cruiser,2022,SUV,True,3101000.0,1923159.04,0.9008,0.8241,55,Salaried,1010000.0,0.6871,825,811,South,Karnataka,1,0.0146,0.5888,1721697.95,14800.54,False,False,,0,0,0,0,Nil,True
ZAAUTO2024-1-00027,ZAAUTO2024-1,BOR-367729,SVC001,HDFC Bank Auto Finance,DSA,2021-06-11,2024-10-31,2025-05-21,1042900.0,48,8,40,10.73,26817.75,New Vehicle Purchase,163056.82,26817.75,26268.6,2024-10-06,Current,0,40,40,0,0,0,Skoda,Slavia,2021,Sedan,True,1297000.0,644020.11,0.8041,0.2418,25,Professional,4536000.0,0.0709,823,842,South,Karnataka,1,0.0242,0.382,166166.02,1536.11,False,False,,0,0,0,0,Nil,True
ZAAUTO2024-1-00028,ZAAUTO2024-1,BOR-362801,SVC003,Bajaj Finance Auto,Online,2024-03-05,2024-10-31,2029-02-07,1970200.0,60,53,7,9.03,40926.8,New Vehicle Purchase,1615943.24,40926.8,40852.51,2024-10-13,Current,0,7,7,0,0,0,Maruti Suzuki,Celerio,2024,SUV,True,2895000.0,2782586.2,0.6805,0.6094,30,Salaried,2080000.0,0.2361,729,735,North,Rajasthan,1,0.0204,0.624,1683043.07,21424.47,False,False,,0,0,0,0,Nil,False
ZAAUTO2024-1-00029,ZAAUTO2024-1,BOR-483542,SVC002,ICICI Auto Loans,Dealer,2022-11-25,2024-10-31,2028-10-24,1124400.0,72,49,23,14.27,23331.97,New Vehicle Purchase,781047.58,23331.97,24087.59,2024-10-12,Current,0,23,23,0,0,0,Hyundai,Verna,2022,Sedan,True,1656000.0,1234729.95,0.679,0.6514,28,Professional,365000.0,0.7671,787,752,East,Bihar,1,0.0214,0.633,793857.01,10753.75,False,False,,0,0,0,0,Nil,True
ZAAUTO2024-1-00030,ZAAUTO2024-1,BOR-575679,SVC001,HDFC Bank Auto Finance,Online,2021-08-27,2024-10-31,2025-08-06,2235200.0,48,10,38,13.71,60755.48,New Vehicle Purchase,428576.13,60755.48,13409.05,2024-10-24,1-29 DPD,20,38,37,3,0,0,Tata Motors,Nexon,2021,SUV,True,3489000.0,2068461.93,0.6406,0.2258,48,Professional,3060000.0,0.2383,836,805,East,West Bengal,1,0.0152,0.5557,440243.38,3718.58,False,False,,0,0,0,0,Third Party,True
ZAAUTO2024-1-00031,ZAAUTO2024-1,BOR-692002,SVC001,HDFC Bank Auto Finance,Dealer,2023-07-21,2024-10-31,2028-06-24,1092100.0,60,45,15,9.2,22776.35,New Vehicle Purchase,752638.67,22776.35,21673.48,2024-10-15,Current,0,15,15,0,0,0,Hyundai,Grand i10,2023,Compact SUV,True,1768000.0,1319977.2,0.6177,0.5191,36,Salaried,1841000.0,0.1485,800,777,South,Andhra Pradesh,1,0.0219,0.3577,753197.89,5900.27,False,False,,0,0,0,0,Third Party,True
ZAAUTO2024-1-00032,ZAAUTO2024-1,BOR-744986,SVC001,HDFC Bank Auto Finance,Direct,2023-05-13,2024-10-31,2030-04-06,1460700.0,84,67,17,8.26,22956.46,New Vehicle Purchase,1136625.95,22956.46,23026.61,2024-10-02,Current,0,17,17,0,0,0,Volkswagen,Taigun,2023,MUV,True,2010000.0,1601736.3,0.7267,0.7104,25,Business Owner,4842000.0,0.0569,665,676,East,Jharkhand,1,0.0173,0.5399,1167789.76,10907.47,False,False,,0,0,0,0,Nil,False
ZAAUTO2024-1-00033,ZAAUTO2024-1,BOR-547494,SVC003,Bajaj Finance Auto,Online,2023-06-01,2024-10-31,2029-04-30,686000.0,72,56,16,10.41,12851.02,Refinance,487810.04,12851.02,12274.58,2024-10-13,Current,0,16,16,0,0,0,Hyundai,Grand i10,2018,Sedan,False,921000.0,759112.4,0.7448,0.6555,43,Business Owner,1272000.0,0.1212,771,729,North,Delhi,1,0.022,0.4732,509117.76,5300.12,False,False,,0,0,0,0,Nil,True
ZAAUTO2024-1-00034,ZAAUTO2024-1,BOR-220465,SVC002,ICICI Auto Loans,Online,2022-12-22,2024-10-31,2025-12-06,1030600.0,36,14,22,9.95,33230.38,New Vehicle Purchase,394151.75,33230.38,33672.92,2024-10-30,Current,0,22,22,0,0,0,Hyundai,Aura,2022,Sedan,True,1519000.0,1026702.32,0.6785,0.3526,40,Self-Employed,4094000.0,0.0974,793,822,Central,Madhya Pradesh,1,0.0182,0.4044,396974.89,2921.77,False,False,,0,0,0,0,Nil,True
ZAAUTO2024-1-00035,ZAAUTO2024-1,BOR-189083,SVC001,HDFC Bank Auto Finance,Online,2023-12-23,2024-10-31,2028-11-26,868600.0,60,50,10,12.94,19736.65,New Vehicle Purchase,713076.47,19736.65,19185.05,2024-10-28,Current,0,10,10,0,0,0,Mahindra,Bolero,2023,SUV,True,1225000.0,971857.34,0.7091,0.6615,25,Self-Employed,1040000.0,0.2277,808,764,North,Punjab,1,0.0192,0.435,737267.1,6157.65,False,False,,0,0,0,0,Comprehensive,True
ZAAUTO2024-1-00036,ZAAUTO2024-1,BOR-837852,SVC001,HDFC Bank Auto Finance,DSA,2022-09-10,2024-10-31,2028-08-09,1016200.0,72,47,25,8.73,18181.67,New Vehicle Purchase,634849.25,18181.67,5824.68,2024-10-26,60-89 DPD,78,25,20,2,0,1,Mahindra,XUV700,2022,SUV,True,1686000.0,1155596.77,0.6027,0.5379,38,Business Owner,4392000.0,0.0497,660,665,North,Uttar Pradesh,2,0.1439,0.6259,637646.71,57430.93,False,True,Rate Reduction,0,0,0,0,Nil,True
ZAAUTO2024-1-00037,ZAAUTO2024-1,BOR-466346,SVC003,Bajaj Finance Auto,DSA,2022-09-28,2024-10-31,2029-08-22,580900.0,84,59,25,11.07,9967.82,New Vehicle Purchase,422656.04,9967.82,9784.55,2024-10-03,Current,0,25,25,0,0,0,Toyota,Fortuner,2022,Sedan,True,707000.0,452168.97,0.8216,0.854,46,Self-Employed,1410000.0,0.0848,687,669,South,Tamil Nadu,1,0.0222,0.6146,436244.26,5952.17,False,False,,0,0,0,0,Nil,True
ZAAUTO2024-1-00038,ZAAUTO2024-1,BOR-401022,SVC001,HDFC Bank Auto Finance,DSA,2023-06-25,2024-10-31,2029-05-24,1537800.0,72,56,16,7.76,26782.77,New Vehicle Purchase,1142615.21,26782.77,25548.46,2024-10-03,Current,0,16,16,0,0,0,Kia,Sonet,2023,SUV,True,2170000.0,1925535.05,0.7086,0.6517,27,Salaried,1718000.0,0.1871,768,792,Central,Madhya Pradesh,1,0.0152,0.6197,1162236.07,10947.61,False,False,,0,0,0,0,Comprehensive,True
ZAAUTO2024-1-00039,ZAAUTO2024-1,BOR-450905,SVC002,ICICI Auto Loans,Direct,2023-12-10,2024-10-31,2030-11-03,1608000.0,84,74,10,7.87,24958.61,New Vehicle Purchase,1408968.67,24958.61,25740.28,2024-09-28,Current,0,10,10,0,0,0,Volkswagen,Taigun,2023,SUV,True,1846000.0,1492394.49,0.8711,0.8673,26,Business Owner,3585000.0,0.0835,722,704,Central,Madhya Pradesh,1,0.0211,0.6314,1430778.23,19061.6,False,False,,0,0,0,0,Nil,False
ZAAUTO2024-1-00040,ZAAUTO2024-1,BOR-410160,SVC002,ICICI Auto Loans,Online,2023-05-18,2024-10-31,2027-04-27,1010500.0,48,31,17,14.5,27867.52,Used Vehicle Purchase,602521.05,27867.52,27725.19,2024-09-27,Current,0,17,17,0,0,0,Volkswagen,Virtus,2020,Sedan,False,1164000.0,878209.63,0.8682,0.6503,29,Salaried,2679000.0,0.1248,808,774,Central,Chhattisgarh,1,0.0221,0.4213,615903.0,5734.51,False,False,,0,0,0,0,Nil,False
ZAAUTO2024-1-00041,ZAAUTO2024-1,BOR-538997,SVC003,Bajaj Finance Auto,Direct,2023-08-19,2024-10-31,2028-07-23,1357900.0,60,46,14,12.95,30861.65,New Vehicle Purchase,1015484.15,30861.65,22972.72,2024-10-05,30-59 DPD,59,14,10,0,0,0,Mahindra,Thar,2023,Compact SUV,True,1783000.0,1350911.25,0.7616,0.6845,33,Self-Employed,4066000.0,0.0911,685,667,North,Uttar Pradesh,2,0.1438,0.3775,1061714.32,57634.63,False,False,,0,0,0,0,Nil,False
ZAAUTO2024-1-00042,ZAAUTO2024-1,BOR-929822,SVC003,Bajaj Finance Auto,DSA,2023-10-26,2024-10-31,2026-10-10,408000.0,36,24,12,13.37,13819.96,New Vehicle Purchase,271318.4,13819.96,13760.69,2024-10-24,Current,0,12,12,0,0,0,Toyota,Fortuner,2023,Hatchback,True,669000.0,611225.79,0.6099,0.4738,32,Self-Employed,480000.0,0.3455,770,737,East,Jharkhand,1,0.0153,0.4364,275403.79,1838.85,False,False,,0,0,0,17405.92,Nil,False
ZAAUTO2024-1-00043,ZAAUTO2024-1,BOR-698384,SVC002,ICICI Auto Loans,Dealer,2023-10-21,2024-10-31,2029-09-19,628100.0,72,60,12,7.51,10862.96,New Vehicle Purchase,498775.47,10862.96,6389.05,2024-10-10,90-119 DPD,106,12,7,0,2,1,Skoda,Kushaq,2023,Compact SUV,True,966000.0,766269.57,0.6503,0.6032,49,Self-Employed,3423000.0,0.0381,671,688,West,Maharashtra,3,0.7771,0.3703,504788.85,145258.11,False,False,,0,0,0,0,Nil,True
ZAAUTO2024-1-00044,ZAAUTO2024-1,BOR-166165,SVC001,HDFC Bank Auto Finance,Online,2022-12-23,2024-10-31,2028-11-21,1480300.0,72,50,22,11.92,28878.6,New Vehicle Purchase,1050318.75,28878.6,28413.76,2024-10-20,Current,0,22,22,0,0,0,Volkswagen,Virtus,2022,Sedan,True,1763000.0,1296582.69,0.8396,0.8095,52,Salaried,514000.0,0.6742,701,656,West,Gujarat,1,0.0173,0.5898,1073265.66,10951.11,False,False,,0,0,0,0,Third Party,True
ZAAUTO2024-1-00045,ZAAUTO2024-1,BOR-183958,SVC001,HDFC Bank Auto Finance,Dealer,2023-10-16,2024-10-31,2027-09-25,821400.0,48,36,12,11.32,21357.39,New Vehicle Purchase,584127.35,21357.39,20594.46,2024-10-03,Current,0,12,12,0,0,0,Toyota,Glanza,2023,MUV,True,1013000.0,786450.23,0.8109,0.6736,43,Business Owner,3252000.0,0.0788,759,730,East,Bihar,1,0.0221,0.4719,599112.73,6248.14,False,False,,0,0,0,0,Comprehensive,True
ZAAUTO2024-1-00046,ZAAUTO2024-1,BOR-900152,SVC003,Bajaj Finance Auto,Online,2021-05-18,2024-10-31,2027-04-17,481100.0,72,31,41,14.14,9949.52,New Vehicle Purchase,197985.09,9949.52,7153.14,2024-10-03,120+ DPD,252,41,39,2,1,2,Mahindra,Thar,2021,Compact SUV,True,736000.0,411072.09,0.6537,0.5295,29,Self-Employed,2788000.0,0.0428,751,741,West,Maharashtra,3,0.9489,0.6496,199966.71,123260.57,False,False,,0,0,0,0,Comprehensive,True
ZAAUTO2024-1-00047,ZAAUTO2024-1,BOR-227257,SVC003,Bajaj Finance Auto,DSA,2022-10-17,2024-10-31,2026-09-26,2879800.0,48,24,24,13.06,77343.61,New Vehicle Purchase,1405793.61,77343.61,78444.51,2024-10-03,Current,0,24,24,0,0,0,Toyota,Innova,2022,SUV,True,3207000.0,2267780.81,0.898,0.6157,36,Self-Employed,1413000.0,0.6568,776,729,West,Goa,1,0.0203,0.5807,1463665.87,17254.0,False,False,,0,0,0,0,Nil,False
ZAAUTO2024-1-00048,ZAAUTO2024-1,BOR-158104,SVC003,Bajaj Finance Auto,Dealer,2023-11-26,2024-10-31,2027-11-05,931800.0,48,37,11,10.53,23870.73,New Vehicle Purchase,744555.82,23870.73,17225.14,2024-10-10,90-119 DPD,117,11,5,2,0,2,Toyota,Fortuner,2023,Compact SUV,True,1404000.0,1302158.35,0.6637,0.611,29,Self-Employed,1729000.0,0.1657,691,682,South,Andhra Pradesh,3,0.8513,0.4006,779609.77,265870.93,False,False,,0,0,0,0,Nil,True
ZAAUTO2024-1-00049,ZAAUTO2024-1,BOR-773088,SVC001,HDFC Bank Auto Finance,Online,2024-02-29,2024-10-31,2030-01-28,1393200.0,72,64,8,13.72,28499.45,Used Vehicle Purchase,1215906.47,28499.45,28542.14,2024-10-25,Current,0,8,8,0,0,0,Maruti Suzuki,Swift,2019,SUV,False,1868000.0,1627581.21,0.7458,0.72,41,Professional,1451000.0,0.2357,825,826,West,Gujarat,1,0.0243,0.4458,1275973.67,13822.55,False,False,,0,0,0,0,Third Party,True
