SnapshotDate,LoanID,PoolID,DPD_Days,DPD_Bucket,DPD_Bucket_Prior,CurrentBalance,AmountOverdue,EMIsOverdue,LastPaymentDate,LastPaymentAmount,CureFlag,RollFlag,RepossessionFlag,WriteOffFlag,RBI_SMA_Class,ConsecutiveMonthsDelinquent,TransitionType
2024-05-30,ZAAUTO2024-1-00003,ZAAUTO2024-1,0,Current,Current,333100.0,0,0,2024-04-26,7435.01,False,Same,False,False,Standard,0,Static
2024-05-30,ZAAUTO2024-1-00003,ZAAUTO2024-1,0,Current,Current,333100.0,0,0,2024-05-30,7055.9,False,Same,False,False,Standard,0,Static
2024-06-30,ZAAUTO2024-1-00003,ZAAUTO2024-1,0,Current,Current,333100.0,0,0,2024-06-23,7408.91,False,Same,False,False,Standard,0,Static
2024-07-30,ZAAUTO2024-1-00003,ZAAUTO2024-1,0,Current,Current,333100.0,0,0,2024-07-11,6671.51,False,Same,False,False,Standard,0,Static
2024-08-30,ZAAUTO2024-1-00003,ZAAUTO2024-1,0,Current,Current,322061.4,0,0,2024-08-25,6507.06,False,Same,False,False,Standard,0,Static
2024-09-30,ZAAUTO2024-1-00003,ZAAUTO2024-1,0,Current,Current,322860.19,0,0,2024-09-26,7461.19,False,Same,False,False,Standard,0,Static
2024-10-30,ZAAUTO2024-1-00003,ZAAUTO2024-1,0,Current,Current,319000.13,0,0,2024-10-22,6552.76,False,Same,False,False,Standard,0,Static
2023-12-30,ZAAUTO2024-1-00004,ZAAUTO2024-1,21,1-29 DPD,Current,1252662.17,26062.38,1,2023-11-27,7060.08,False,Worse,False,False,SMA-0,1,Roll
2024-01-30,ZAAUTO2024-1-00004,ZAAUTO2024-1,0,Current,1-29 DPD,1220924.77,0,0,2024-01-26,24777.84,True,Better,False,False,Standard,0,Cure
2024-02-28,ZAAUTO2024-1-00004,ZAAUTO2024-1,0,Current,Current,1230032.59,0,0,2024-02-14,25756.56,False,Same,False,False,Standard,0,Static
2024-03-30,ZAAUTO2024-1-00004,ZAAUTO2024-1,0,Current,Current,1159445.86,0,0,2024-03-27,24351.16,False,Same,False,False,Standard,0,Static
2024-04-30,ZAAUTO2024-1-00004,ZAAUTO2024-1,0,Current,Current,1214707.49,0,0,2024-04-09,23733.15,False,Same,False,False,Standard,0,Static
2024-05-30,ZAAUTO2024-1-00004,ZAAUTO2024-1,0,Current,Current,1138258.97,0,0,2024-04-29,24293.67,False,Same,False,False,Standard,0,Static
2024-05-30,ZAAUTO2024-1-00004,ZAAUTO2024-1,0,Current,Current,1109255.85,0,0,2024-04-30,24406.1,False,Same,False,False,Standard,0,Static
2024-06-30,ZAAUTO2024-1-00004,ZAAUTO2024-1,0,Current,Current,1116035.14,0,0,2024-06-04,24200.52,False,Same,False,False,Standard,0,Static
2024-07-30,ZAAUTO2024-1-00004,ZAAUTO2024-1,0,Current,Current,1065914.16,0,0,2024-07-03,24841.22,False,Same,False,False,Standard,0,Static
2024-08-30,ZAAUTO2024-1-00004,ZAAUTO2024-1,0,Current,Current,1069710.45,0,0,2024-08-27,26088.56,False,Same,False,False,Standard,0,Static
2024-09-30,ZAAUTO2024-1-00004,ZAAUTO2024-1,0,Current,Current,1091999.07,0,0,2024-09-24,23693.1,False,Same,False,False,Standard,0,Static
2024-10-30,ZAAUTO2024-1-00004,ZAAUTO2024-1,0,Current,Current,1051623.28,0,0,2024-10-24,24428.23,False,Same,False,False,Standard,0,Static
2023-12-30,ZAAUTO2024-1-00005,ZAAUTO2024-1,27,1-29 DPD,Current,964007.04,57089.7,1,2023-12-25,31731.61,False,Worse,False,False,SMA-0,1,Roll
2024-01-30,ZAAUTO2024-1-00005,ZAAUTO2024-1,0,Current,1-29 DPD,997384.62,0,0,2024-01-20,54861.04,True,Better,False,False,Standard,0,Cure
2024-02-28,ZAAUTO2024-1-00005,ZAAUTO2024-1,0,Current,Current,946839.97,0,0,2024-02-03,59108.76,False,Same,False,False,Standard,0,Static
2024-03-30,ZAAUTO2024-1-00005,ZAAUTO2024-1,0,Current,Current,900929.32,0,0,2024-03-30,59818.38,False,Same,False,False,Standard,0,Static
2024-04-30,ZAAUTO2024-1-00005,ZAAUTO2024-1,0,Current,Current,882774.61,0,0,2024-04-01,53823.45,False,Same,False,False,Standard,0,Static
2024-05-30,ZAAUTO2024-1-00005,ZAAUTO2024-1,0,Current,Current,884774.76,0,0,2024-04-25,57048.64,False,Same,False,False,Standard,0,Static
2024-05-30,ZAAUTO2024-1-00005,ZAAUTO2024-1,0,Current,Current,846610.55,0,0,2024-05-18,53921.57,False,Same,False,False,Standard,0,Static
2024-06-30,ZAAUTO2024-1-00005,ZAAUTO2024-1,0,Current,Current,849630.86,0,0,2024-05-27,51902.74,False,Same,False,False,Standard,0,Static
2024-07-30,ZAAUTO2024-1-00005,ZAAUTO2024-1,0,Current,Current,786513.55,0,0,2024-07-27,56383.31,False,Same,False,False,Standard,0,Static
2024-08-30,ZAAUTO2024-1-00005,ZAAUTO2024-1,0,Current,Current,772057.52,0,0,2024-07-28,52728.9,False,Same,False,False,Standard,0,Static
2024-09-30,ZAAUTO2024-1-00005,ZAAUTO2024-1,0,Current,Current,771182.69,0,0,2024-09-25,58671.16,False,Same,False,False,Standard,0,Static
2024-10-30,ZAAUTO2024-1-00005,ZAAUTO2024-1,0,Current,Current,699434.26,0,0,2024-10-26,57162.88,False,Same,False,False,Standard,0,Static
2023-12-30,ZAAUTO2024-1-00006,ZAAUTO2024-1,0,Current,Current,472100.0,0,0,2023-12-15,7011.03,False,Same,False,False,Standard,0,Static
2024-01-30,ZAAUTO2024-1-00006,ZAAUTO2024-1,0,Current,Current,472100.0,0,0,2024-01-11,7225.44,False,Same,False,False,Standard,0,Static
2024-02-28,ZAAUTO2024-1-00006,ZAAUTO2024-1,0,Current,Current,472100.0,0,0,2024-02-24,6724.24,False,Same,False,False,Standard,0,Static
2024-03-30,ZAAUTO2024-1-00006,ZAAUTO2024-1,0,Current,Current,472100.0,0,0,2024-03-24,6795.8,False,Same,False,False,Standard,0,Static
2024-04-30,ZAAUTO2024-1-00006,ZAAUTO2024-1,0,Current,Current,472100.0,0,0,2024-04-14,6862.03,False,Same,False,False,Standard,0,Static
2024-05-30,ZAAUTO2024-1-00006,ZAAUTO2024-1,0,Current,Current,472100.0,0,0,2024-05-26,7697.7,False,Same,False,False,Standard,0,Static
2024-05-30,ZAAUTO2024-1-00006,ZAAUTO2024-1,0,Current,Current,472100.0,0,0,2024-05-20,7204.14,False,Same,False,False,Standard,0,Static
2024-06-30,ZAAUTO2024-1-00006,ZAAUTO2024-1,0,Current,Current,472100.0,0,0,2024-06-11,7398.27,False,Same,False,False,Standard,0,Static
2024-07-30,ZAAUTO2024-1-00006,ZAAUTO2024-1,0,Current,Current,472100.0,0,0,2024-06-27,6722.57,False,Same,False,False,Standard,0,Static
2024-08-30,ZAAUTO2024-1-00006,ZAAUTO2024-1,0,Current,Current,468365.37,0,0,2024-08-11,7756.43,False,Same,False,False,Standard,0,Static
2024-09-30,ZAAUTO2024-1-00006,ZAAUTO2024-1,0,Current,Current,438360.68,0,0,2024-09-22,7009.75,False,Same,False,False,Standard,0,Static
2024-10-30,ZAAUTO2024-1-00006,ZAAUTO2024-1,0,Current,Current,456391.96,0,0,2024-09-25,6887.76,False,Same,False,False,Standard,0,Static
2023-12-30,ZAAUTO2024-1-00007,ZAAUTO2024-1,0,Current,Current,609103.97,0,0,2023-12-09,12494.5,False,Same,False,False,Standard,0,Static
2024-01-30,ZAAUTO2024-1-00007,ZAAUTO2024-1,0,Current,Current,625649.84,0,0,2024-01-14,11369.75,False,Same,False,False,Standard,0,Static
2024-02-28,ZAAUTO2024-1-00007,ZAAUTO2024-1,0,Current,Current,607204.54,0,0,2024-02-01,12106.61,False,Same,False,False,Standard,0,Static
2024-03-30,ZAAUTO2024-1-00007,ZAAUTO2024-1,0,Current,Current,583292.36,0,0,2024-03-21,12078.34,False,Same,False,False,Standard,0,Static
2024-04-30,ZAAUTO2024-1-00007,ZAAUTO2024-1,0,Current,Current,603978.01,0,0,2024-03-26,11344.86,False,Same,False,False,Standard,0,Static
2024-05-30,ZAAUTO2024-1-00007,ZAAUTO2024-1,0,Current,Current,564704.85,0,0,2024-05-11,11744.46,False,Same,False,False,Standard,0,Static
2024-05-30,ZAAUTO2024-1-00007,ZAAUTO2024-1,0,Current,Current,587723.88,0,0,2024-05-28,12730.34,False,Same,False,False,Standard,0,Static
2024-06-30,ZAAUTO2024-1-00007,ZAAUTO2024-1,0,Current,Current,548743.7,0,0,2024-06-15,12302.25,False,Same,False,False,Standard,0,Static
2024-07-30,ZAAUTO2024-1-00007,ZAAUTO2024-1,0,Current,Current,544676.95,0,0,2024-06-25,12703.05,False,Same,False,False,Standard,0,Static
2024-08-30,ZAAUTO2024-1-00007,ZAAUTO2024-1,0,Current,Current,536916.6,0,0,2024-08-21,12779.86,False,Same,False,False,Standard,0,Static
2024-09-30,ZAAUTO2024-1-00007,ZAAUTO2024-1,0,Current,Current,520697.93,0,0,2024-09-20,12872.94,False,Same,False,False,Standard,0,Static
2024-10-30,ZAAUTO2024-1-00007,ZAAUTO2024-1,0,Current,Current,532238.63,0,0,2024-10-04,11117.32,False,Same,False,False,Standard,0,Static
2023-12-30,ZAAUTO2024-1-00008,ZAAUTO2024-1,0,Current,Current,331643.97,0,0,2023-12-01,5878.41,False,Same,False,False,Standard,0,Static
2024-01-30,ZAAUTO2024-1-00008,ZAAUTO2024-1,0,Current,Current,340754.67,0,0,2024-01-16,5761.08,False,Same,False,False,Standard,0,Static
2024-02-28,ZAAUTO2024-1-00008,ZAAUTO2024-1,0,Current,Current,331743.84,0,0,2024-02-03,5858.6,False,Same,False,False,Standard,0,Static
2024-03-30,ZAAUTO2024-1-00008,ZAAUTO2024-1,0,Current,Current,331221.21,0,0,2024-03-13,5879.79,False,Same,False,False,Standard,0,Static
2024-04-30,ZAAUTO2024-1-00008,ZAAUTO2024-1,0,Current,Current,317921.65,0,0,2024-03-27,5861.27,False,Same,False,False,Standard,0,Static
2024-05-30,ZAAUTO2024-1-00008,ZAAUTO2024-1,0,Current,Current,302064.22,0,0,2024-05-14,5720.02,False,Same,False,False,Standard,0,Static
2024-05-30,ZAAUTO2024-1-00008,ZAAUTO2024-1,0,Current,Current,317509.75,0,0,2024-05-14,5590.12,False,Same,False,False,Standard,0,Static
2024-06-30,ZAAUTO2024-1-00008,ZAAUTO2024-1,0,Current,Current,304327.5,0,0,2024-06-08,6229.18,False,Same,False,False,Standard,0,Static
2024-07-30,ZAAUTO2024-1-00008,ZAAUTO2024-1,0,Current,Current,293167.14,0,0,2024-06-28,5661.76,False,Same,False,False,Standard,0,Static
2024-08-30,ZAAUTO2024-1-00008,ZAAUTO2024-1,58,30-59 DPD,Current,293538.1,6171.89,1,2024-08-14,164.37,False,Worse,False,False,SMA-1,1,Roll
2024-09-30,ZAAUTO2024-1-00008,ZAAUTO2024-1,73,60-89 DPD,30-59 DPD,276640.75,12343.78,2,2024-08-27,2543.52,False,Worse,False,False,SMA-2,2,Roll
2024-10-30,ZAAUTO2024-1-00008,ZAAUTO2024-1,83,60-89 DPD,60-89 DPD,286389.39,12343.78,2,2024-10-18,1348.76,False,Same,False,False,SMA-2,3,Static
2023-12-30,ZAAUTO2024-1-00009,ZAAUTO2024-1,0,Current,Current,840005.29,0,0,2023-12-04,18430.76,False,Same,False,False,Standard,0,Static
2024-01-30,ZAAUTO2024-1-00009,ZAAUTO2024-1,0,Current,Current,837871.47,0,0,2024-01-19,18294.11,False,Same,False,False,Standard,0,Static
2024-02-28,ZAAUTO2024-1-00009,ZAAUTO2024-1,0,Current,Current,815695.85,0,0,2024-01-24,18897.53,False,Same,False,False,Standard,0,Static
2024-03-30,ZAAUTO2024-1-00009,ZAAUTO2024-1,0,Current,Current,798384.96,0,0,2024-03-17,17780.79,False,Same,False,False,Standard,0,Static
2024-04-30,ZAAUTO2024-1-00009,ZAAUTO2024-1,0,Current,Current,796441.54,0,0,2024-04-10,17877.85,False,Same,False,False,Standard,0,Static
2024-05-30,ZAAUTO2024-1-00009,ZAAUTO2024-1,0,Current,Current,771027.63,0,0,2024-05-17,18005.57,False,Same,False,False,Standard,0,Static
2024-05-30,ZAAUTO2024-1-00009,ZAAUTO2024-1,0,Current,Current,772271.22,0,0,2024-05-20,18413.95,False,Same,False,False,Standard,0,Static
2024-06-30,ZAAUTO2024-1-00009,ZAAUTO2024-1,0,Current,Current,727398.79,0,0,2024-06-09,16850.25,False,Same,False,False,Standard,0,Static
2024-07-30,ZAAUTO2024-1-00009,ZAAUTO2024-1,0,Current,Current,744180.46,0,0,2024-07-15,18452.51,False,Same,False,False,Standard,0,Static
2024-08-30,ZAAUTO2024-1-00009,ZAAUTO2024-1,0,Current,Current,689527.54,0,0,2024-08-18,16999.49,False,Same,False,False,Standard,0,Static
2024-09-30,ZAAUTO2024-1-00009,ZAAUTO2024-1,0,Current,Current,663451.53,0,0,2024-08-31,18282.38,False,Same,False,False,Standard,0,Static
2024-10-30,ZAAUTO2024-1-00009,ZAAUTO2024-1,0,Current,Current,680572.5,0,0,2024-10-01,17738.07,False,Same,False,False,Standard,0,Static
2023-12-30,ZAAUTO2024-1-00010,ZAAUTO2024-1,0,Current,Current,314027.45,0,0,2023-11-27,8454.83,False,Same,False,False,Standard,0,Static
2024-01-30,ZAAUTO2024-1-00010,ZAAUTO2024-1,0,Current,Current,317422.49,0,0,2024-01-23,8444.25,False,Same,False,False,Standard,0,Static
2024-02-28,ZAAUTO2024-1-00010,ZAAUTO2024-1,0,Current,Current,317492.7,0,0,2024-01-26,9139.29,False,Same,False,False,Standard,0,Static
2024-03-30,ZAAUTO2024-1-00010,ZAAUTO2024-1,0,Current,Current,307608.74,0,0,2024-03-02,8648.53,False,Same,False,False,Standard,0,Static
2024-04-30,ZAAUTO2024-1-00010,ZAAUTO2024-1,0,Current,Current,304916.43,0,0,2024-03-29,8405.38,False,Same,False,False,Standard,0,Static
2024-05-30,ZAAUTO2024-1-00010,ZAAUTO2024-1,0,Current,Current,303467.28,0,0,2024-05-02,9020.69,False,Same,False,False,Standard,0,Static
2024-05-30,ZAAUTO2024-1-00010,ZAAUTO2024-1,53,30-59 DPD,Current,297082.1,8719.17,1,2024-05-02,1355.96,False,Worse,False,False,SMA-1,1,Roll
2024-06-30,ZAAUTO2024-1-00010,ZAAUTO2024-1,67,60-89 DPD,30-59 DPD,291210.55,17438.34,2,2024-06-13,4006.36,False,Worse,False,False,SMA-2,2,Roll
2024-07-30,ZAAUTO2024-1-00010,ZAAUTO2024-1,76,60-89 DPD,60-89 DPD,278739.14,17438.34,2,2024-07-15,1436.56,False,Same,False,False,SMA-2,3,Static
2024-08-30,ZAAUTO2024-1-00010,ZAAUTO2024-1,62,60-89 DPD,60-89 DPD,277900.59,17438.34,2,2024-08-15,1421.48,False,Same,False,False,SMA-2,4,Static
2024-09-30,ZAAUTO2024-1-00010,ZAAUTO2024-1,201,120+ DPD,60-89 DPD,275945.94,52315.02,6,2024-09-25,723.9,False,Worse,False,False,NPA,5,Roll
2024-10-30,ZAAUTO2024-1-00010,ZAAUTO2024-1,179,120+ DPD,120+ DPD,260962.29,43595.85,5,2024-10-21,3695.63,False,Same,False,False,NPA,6,Static
2023-12-30,ZAAUTO2024-1-00011,ZAAUTO2024-1,0,Current,Current,529232.53,0,0,2023-12-30,14542.69,False,Same,False,False,Standard,0,Static
2024-01-30,ZAAUTO2024-1-00011,ZAAUTO2024-1,0,Current,Current,515093.11,0,0,2024-01-06,14355.65,False,Same,False,False,Standard,0,Static
2024-02-28,ZAAUTO2024-1-00011,ZAAUTO2024-1,0,Current,Current,527852.33,0,0,2024-02-02,13695.36,False,Same,False,False,Standard,0,Static
2024-03-30,ZAAUTO2024-1-00011,ZAAUTO2024-1,0,Current,Current,508516.29,0,0,2024-03-16,13590.64,False,Same,False,False,Standard,0,Static
2024-04-30,ZAAUTO2024-1-00011,ZAAUTO2024-1,0,Current,Current,481087.7,0,0,2024-03-30,12628.77,False,Same,False,False,Standard,0,Static
2024-05-30,ZAAUTO2024-1-00011,ZAAUTO2024-1,0,Current,Current,472216.12,0,0,2024-05-05,14084.88,False,Same,False,False,Standard,0,Static
2024-05-30,ZAAUTO2024-1-00011,ZAAUTO2024-1,0,Current,Current,477872.72,0,0,2024-05-22,14622.25,False,Same,False,False,Standard,0,Static
2024-06-30,ZAAUTO2024-1-00011,ZAAUTO2024-1,0,Current,Current,456488.54,0,0,2024-06-05,13807.78,False,Same,False,False,Standard,0,Static
2024-07-30,ZAAUTO2024-1-00011,ZAAUTO2024-1,0,Current,Current,449331.58,0,0,2024-07-25,13914.31,False,Same,False,False,Standard,0,Static
2024-08-30,ZAAUTO2024-1-00011,ZAAUTO2024-1,0,Current,Current,421778.47,0,0,2024-08-01,12948.63,False,Same,False,False,Standard,0,Static
2024-09-30,ZAAUTO2024-1-00011,ZAAUTO2024-1,9,1-29 DPD,Current,418166.44,13964.41,1,2024-09-17,3809.76,False,Worse,False,False,SMA-0,1,Roll
2024-10-30,ZAAUTO2024-1-00011,ZAAUTO2024-1,40,30-59 DPD,1-29 DPD,418214.79,13964.41,1,2024-10-06,2331.41,False,Worse,False,False,SMA-1,2,Roll
2023-12-30,ZAAUTO2024-1-00012,ZAAUTO2024-1,0,Current,Current,355222.08,0,0,2023-12-15,14085.02,False,Same,False,False,Standard,0,Static
2024-01-30,ZAAUTO2024-1-00012,ZAAUTO2024-1,1,1-29 DPD,Current,360529.35,15146.74,1,2024-01-15,1147.1,False,Worse,False,False,SMA-0,1,Roll
2024-02-28,ZAAUTO2024-1-00012,ZAAUTO2024-1,0,Current,1-29 DPD,351609.22,0,0,2024-02-15,14688.63,True,Better,False,False,Standard,0,Cure
2024-03-30,ZAAUTO2024-1-00012,ZAAUTO2024-1,0,Current,Current,331558.61,0,0,2024-03-07,14013.28,False,Same,False,False,Standard,0,Static
2024-04-30,ZAAUTO2024-1-00012,ZAAUTO2024-1,20,1-29 DPD,Current,338170.6,15146.74,1,2024-04-23,7068.61,False,Worse,False,False,SMA-0,1,Roll
2024-05-30,ZAAUTO2024-1-00012,ZAAUTO2024-1,0,Current,1-29 DPD,309776.36,0,0,2024-05-11,13877.67,True,Better,False,False,Standard,0,Cure
2024-05-30,ZAAUTO2024-1-00012,ZAAUTO2024-1,0,Current,Current,296977.95,0,0,2024-05-11,14940.28,False,Same,False,False,Standard,0,Static
2024-06-30,ZAAUTO2024-1-00012,ZAAUTO2024-1,0,Current,Current,305937.05,0,0,2024-06-06,14533.27,False,Same,False,False,Standard,0,Static
2024-07-30,ZAAUTO2024-1-00012,ZAAUTO2024-1,0,Current,Current,291683.88,0,0,2024-07-26,14977.32,False,Same,False,False,Standard,0,Static
2024-08-30,ZAAUTO2024-1-00012,ZAAUTO2024-1,0,Current,Current,283785.87,0,0,2024-08-15,13863.59,False,Same,False,False,Standard,0,Static
2024-09-30,ZAAUTO2024-1-00012,ZAAUTO2024-1,25,1-29 DPD,Current,263481.78,15146.74,1,2024-09-23,7236.15,False,Worse,False,False,SMA-0,1,Roll
2024-10-30,ZAAUTO2024-1-00012,ZAAUTO2024-1,0,Current,1-29 DPD,258433.58,0,0,2024-10-28,14420.92,True,Better,False,False,Standard,0,Cure
2023-12-30,ZAAUTO2024-1-00013,ZAAUTO2024-1,14,1-29 DPD,Current,357613.7,9319.55,1,2023-11-27,5398.67,False,Worse,False,False,SMA-0,1,Roll
2024-01-30,ZAAUTO2024-1-00013,ZAAUTO2024-1,9,1-29 DPD,1-29 DPD,361910.55,9319.55,1,2023-12-27,4331.59,False,Same,False,False,SMA-0,2,Static
2024-02-28,ZAAUTO2024-1-00013,ZAAUTO2024-1,15,1-29 DPD,1-29 DPD,350258.07,9319.55,1,2024-02-11,1802.24,False,Same,False,False,SMA-0,3,Static
2024-03-30,ZAAUTO2024-1-00013,ZAAUTO2024-1,8,1-29 DPD,1-29 DPD,352888.2,9319.55,1,2024-03-25,1559.69,False,Same,False,False,SMA-0,4,Static
2024-04-30,ZAAUTO2024-1-00013,ZAAUTO2024-1,0,Current,1-29 DPD,336519.16,0,0,2024-04-01,9184.21,True,Better,False,False,Standard,0,Cure
2024-05-30,ZAAUTO2024-1-00013,ZAAUTO2024-1,0,Current,Current,334566.92,0,0,2024-05-09,8427.72,False,Same,False,False,Standard,0,Static
2024-05-30,ZAAUTO2024-1-00013,ZAAUTO2024-1,0,Current,Current,331599.75,0,0,2024-05-19,9069.16,False,Same,False,False,Standard,0,Static
2024-06-30,ZAAUTO2024-1-00013,ZAAUTO2024-1,0,Current,Current,313181.25,0,0,2024-06-14,8863.37,False,Same,False,False,Standard,0,Static
2024-07-30,ZAAUTO2024-1-00013,ZAAUTO2024-1,0,Current,Current,317722.78,0,0,2024-07-13,9164.55,False,Same,False,False,Standard,0,Static
2024-08-30,ZAAUTO2024-1-00013,ZAAUTO2024-1,0,Current,Current,302633.98,0,0,2024-08-18,8507.28,False,Same,False,False,Standard,0,Static
2024-09-30,ZAAUTO2024-1-00013,ZAAUTO2024-1,0,Current,Current,299808.94,0,0,2024-08-30,9163.69,False,Same,False,False,Standard,0,Static
2024-10-30,ZAAUTO2024-1-00013,ZAAUTO2024-1,0,Current,Current,282790.8,0,0,2024-09-30,9290.52,False,Same,False,False,Standard,0,Static
2023-12-30,ZAAUTO2024-1-00014,ZAAUTO2024-1,0,Current,Current,702941.77,0,0,2023-12-01,13850.04,False,Same,False,False,Standard,0,Static
2024-01-30,ZAAUTO2024-1-00014,ZAAUTO2024-1,0,Current,Current,687593.71,0,0,2024-01-23,14844.73,False,Same,False,False,Standard,0,Static
2024-02-28,ZAAUTO2024-1-00014,ZAAUTO2024-1,0,Current,Current,679397.9,0,0,2024-01-25,15351.81,False,Same,False,False,Standard,0,Static
2024-03-30,ZAAUTO2024-1-00014,ZAAUTO2024-1,0,Current,Current,686031.64,0,0,2024-03-18,13729.6,False,Same,False,False,Standard,0,Static
2024-04-30,ZAAUTO2024-1-00014,ZAAUTO2024-1,0,Current,Current,664599.18,0,0,2024-03-28,14569.77,False,Same,False,False,Standard,0,Static
2024-05-30,ZAAUTO2024-1-00014,ZAAUTO2024-1,0,Current,Current,676134.75,0,0,2024-05-18,13905.98,False,Same,False,False,Standard,0,Static
2024-05-30,ZAAUTO2024-1-00014,ZAAUTO2024-1,0,Current,Current,635920.84,0,0,2024-05-11,13282.94,False,Same,False,False,Standard,0,Static
2024-06-30,ZAAUTO2024-1-00014,ZAAUTO2024-1,0,Current,Current,632262.99,0,0,2024-06-13,13352.22,False,Same,False,False,Standard,0,Static
